grade,num_tested,pct_ccr,pct_glp,school_code,subgroup,subject,type,year,school_name,district_name,County name
ALL,2436,77.3,83.9,4.90E+01,ALL,ALL,ALL,2017,Pine Lake Preparatory,Iredell-Statesville School District,Iredell
ALL,2513,76,84.6,4.90E+01,ALL,ALL,ALL,2016,Pine Lake Preparatory,Iredell-Statesville School District,Iredell
ALL,2330,77,84.6,4.90E+01,ALL,ALL,ALL,2015,Pine Lake Preparatory,Iredell-Statesville School District,Iredell
ALL,2340,75.7,84.3,4.90E+01,ALL,ALL,ALL,2014,Pine Lake Preparatory,Iredell-Statesville School District,Iredell
ALL,2309,71.5,81.6,4.90E+01,ALL,ALL,ALL,2013,Pine Lake Preparatory,Iredell-Statesville School District,Iredell
ALL,880,81.8,88,9.20E+01,ALL,ALL,ALL,2017,Sterling Montessori Academy,Wake County School District,Wake
ALL,909,83.8,89.3,9.20E+01,ALL,ALL,ALL,2016,Sterling Montessori Academy,Wake County School District,Wake
ALL,868,79.8,88,9.20E+01,ALL,ALL,ALL,2015,Sterling Montessori Academy,Wake County School District,Wake
ALL,852,79.2,87.1,9.20E+01,ALL,ALL,ALL,2014,Sterling Montessori Academy,Wake County School District,Wake
ALL,860,76.5,84,9.20E+01,ALL,ALL,ALL,2013,Sterling Montessori Academy,Wake County School District,Wake
ALL,126,77,84.9,10303,ALL,ALL,ALL,2017,Alamance-Burlington Middle College,Alamance-Burlington School District,Alamance
ALL,188,86.7,95,10303,ALL,ALL,ALL,2016,Alamance-Burlington Middle College,Alamance-Burlington School District,Alamance
ALL,118,70.3,81.4,10303,ALL,ALL,ALL,2015,Alamance-Burlington Middle College,Alamance-Burlington School District,Alamance
ALL,7,28.6,42.9,10303,ALL,ALL,ALL,2014,Alamance-Burlington Middle College,Alamance-Burlington School District,Alamance
ALL,705,49.6,60.1,10304,ALL,ALL,ALL,2017,Alexander Wilson Elementary,Alamance-Burlington School District,Alamance
ALL,703,53.2,62.9,10304,ALL,ALL,ALL,2016,Alexander Wilson Elementary,Alamance-Burlington School District,Alamance
ALL,646,49.4,59.6,10304,ALL,ALL,ALL,2015,Alexander Wilson Elementary,Alamance-Burlington School District,Alamance
ALL,603,53.4,63.2,10304,ALL,ALL,ALL,2014,Alexander Wilson Elementary,Alamance-Burlington School District,Alamance
ALL,623,51.4,62.6,10304,ALL,ALL,ALL,2013,Alexander Wilson Elementary,Alamance-Burlington School District,Alamance
ALL,814,50.4,60.4,10308,ALL,ALL,ALL,2017,Altamahaw Ossipee Elem,Alamance-Burlington School District,Alamance
ALL,732,46.4,57.5,10308,ALL,ALL,ALL,2016,Altamahaw Ossipee Elem,Alamance-Burlington School District,Alamance
ALL,702,57.7,67.7,10308,ALL,ALL,ALL,2015,Altamahaw Ossipee Elem,Alamance-Burlington School District,Alamance
ALL,639,57,68.4,10308,ALL,ALL,ALL,2014,Altamahaw Ossipee Elem,Alamance-Burlington School District,Alamance
ALL,668,54.2,65,10308,ALL,ALL,ALL,2013,Altamahaw Ossipee Elem,Alamance-Burlington School District,Alamance
ALL,1700,19.7,26.4,10310,ALL,ALL,ALL,2017,Broadview Middle,Alamance-Burlington School District,Alamance
ALL,1719,22.4,29.8,10310,ALL,ALL,ALL,2016,Broadview Middle,Alamance-Burlington School District,Alamance
ALL,1874,24.5,31.9,10310,ALL,ALL,ALL,2015,Broadview Middle,Alamance-Burlington School District,Alamance
ALL,1917,25,33.6,10310,ALL,ALL,ALL,2014,Broadview Middle,Alamance-Burlington School District,Alamance
ALL,1880,23.2,30.8,10310,ALL,ALL,ALL,2013,Broadview Middle,Alamance-Burlington School District,Alamance
ALL,854,57,65,10312,ALL,ALL,ALL,2017,Highland Elementary,Alamance-Burlington School District,Alamance
ALL,836,53.1,64.1,10312,ALL,ALL,ALL,2016,Highland Elementary,Alamance-Burlington School District,Alamance
ALL,776,60.6,69.8,10312,ALL,ALL,ALL,2015,Highland Elementary,Alamance-Burlington School District,Alamance
ALL,708,62.1,70.8,10312,ALL,ALL,ALL,2014,Highland Elementary,Alamance-Burlington School District,Alamance
ALL,724,58.6,71.1,10312,ALL,ALL,ALL,2013,Highland Elementary,Alamance-Burlington School District,Alamance
ALL,404,52.2,63.1,10320,ALL,ALL,ALL,2017,E M Yoder Elementary,Alamance-Burlington School District,Alamance
ALL,373,59,69.2,10320,ALL,ALL,ALL,2016,E M Yoder Elementary,Alamance-Burlington School District,Alamance
ALL,302,59.3,69.9,10320,ALL,ALL,ALL,2015,E M Yoder Elementary,Alamance-Burlington School District,Alamance
