district_name	City 	County name
A.C.E. Academy School District	Harrisburg	Cabarrus
Alamance-Burlington School District	Burlington	Alamance
Alexander County School District 	Taylorsville 	Alexander
Alleghany County School District 	Sparta 	Alleghany
Alpha Academy School District 	Fayetteville 	Cumberland
American Renaissance School District 	Statesville 	Iredell
Anderson Creek Club Charter School District 	Spring Lake 	Cumberland
Anson County School District 	Wadesboro 	Anson
Arapahoe Charter School School District 	Arapahoe 	Pamlico
Aristotle Preparatory Academy School District 	Charlotte 	Mecklenburg
Arts Based School District 	Winston-Salem 	Forsyth
Artspace Charter School District 	Swannanoa 	Buncombe
Ashe County School District 	Jefferson 	Ashe
Asheboro City School District 	Asheboro 	Randolph
Asheville City School District 	Asheville 	Buncombe
Avery County School District 	Newland 	Avery
Bear Grass Charter School District 	Williamston 	Martin
Beaufort County School District 	Washington 	Beaufort
Bertie County School District 	Windsor 	Bertie
Bethany Community Middle School District 	Reidsville 	Rockingham
Bethel Hill Charter School District 	Roxboro 	Person
Bladen County School District 	Elizabethtown 	Bladen
Bradford Preparatoryschool District 	Charlotte 	Cabarrus
Brevard Academy School District 	Brevard 	Transylvania
Bridges Charter School District 	State Road 	Wilkes
Brunswick County School District 	Bolivia 	Brunswick
Buncombe County Schools 	Asheville 	Buncombe
Burke County School District 	Morganton 	Burke
Cabarrus Charter Academy School District 	Concord 	Cabarrus
Cabarrus County School District 	Concord 	Cabarrus
Caldwell County School District 	Lenoir 	Caldwell
Camden County School District 	Camden 	Camden
Cape Fear Center For Inquiry School District 	Wilmington 	New Hanover
Cardinal Charter School District 	Cary 	Wake
Carolina International School District 	Harrisburg 	Cabarrus
Carter Community Charter School District 	Durham 	Durham
Carter G Woodson School District 	Winston-Salem 	Forsyth
Carteret County Public School District 	Beaufort 	Carteret
Casa Esperanza Montessori School District 	Raleigh 	Wake
Caswell County School District 	Yanceyville 	Caswell
Catawba County School District 	Newton 	Catawba
Central Park School For Children School District 	Durham 	Durham
Chapel Hill-Carrboro City School District 	Chapel Hill 	Orange
Charlotte Choice Charter School District 	Charlotte 	Mecklenburg
Charlotte Learning Academy School District 	Charlotte 	Mecklenburg
Charlotte Secondary School District 	Charlotte 	Mecklenburg
Charlotte-Mecklenburg School District 	Charlotte 	Mecklenburg
Charter Day School District 	Leland 	Brunswick
Chatham Charter School District 	Siler City 	Chatham
Chatham County School District 	Pittsboro 	Chatham
Cherokee County School District 	Murphy 	Cherokee
Children's Village Academy School District 	Kinston 	Lenoir
Cis Academy School District 	Pembroke 	Robeson
Clay County School District 	Hayesville 	Clay
Cleveland County School District 	Shelby 	Cleveland
Clinton City School District 	Clinton 	Sampson
Clover Garden School District 	Burlington 	Alamance
Coastal Academy For Technology & Science School District 	Morehead City 	Carteret
Columbus Charter School District 	Whiteville 	Columbus
Columbus County School District 	Whiteville 	Columbus
Commonwealth High School District 	Charlotte 	Mecklenburg
Community Charter School District 	Charlotte 	Mecklenburg
Community School Of Davidson School District 	Davidson 	Mecklenburg
Cornerstone Charter Academy School District 	Greensboro 	Guilford
Corvian Community School District 	Charlotte 	Mecklenburg
Craven County School District 	New Bern 	Craven
Crosscreek Charter School District 	Louisburg 	Franklin
Crossnore Academy School District 	Crossnore 	Avery
Crossroads Charter High School District 	Charlotte 	Mecklenburg
Cumberland County School District 	Fayetteville 	Cumberland
Currituck County School District 	Currituck 	Currituck
Dare County School District 	Nags Head 	Dare
Davidson County School District 	Lexington 	Davidson
Davie County School District 	Mocksville 	Davie
Deaf And Blind School District 	Raleigh 	Wake
Dillard Academy School District 	Goldsboro 	Wayne
Douglass Academy School District 	Wilmington 	New Hanover
Duplin County School District 	Kenansville 	Duplin
Durham Public School District 	Durham 	Durham
Dynamic Community Charter School District 	Raleigh 	Wake
East Wake Academy School District 	Zebulon 	Wake
Edenton-Chowan School District 	Edenton 	Chowan
Edgecombe County Public School District 	Tarboro 	Edgecombe
Elizabeth City-Pasquotank Public School District 	Elizabeth City 	Pasquotank
Elkin City School District 	Elkin 	Surry
Endeavor Charter School District 	Raleigh 	Wake
Envision Science Academy School District 	Raleigh 	Wake
Evergreen Community Charter School District 	Asheville 	Buncombe
Exploris Middle School District 	Raleigh 	Wake
Falls Lake Academy School District 	Creedmoor 	Granville
Flemington Academy School District 	Lake Waccamaw 	Columbus
Forsyth Academy School District 	Winston-Salem 	Forsyth
Fort Bragg & Camp Lejeune School District 	Fort Bragg 	Cumberland
Francine Delany New School District 	Asheville 	Buncombe
Franklin Academy School District 	Wake Forest 	Wake
Franklin County School District 	Louisburg 	Franklin
Gaston College Preparatory School District 	Gaston 	Northampton
Gaston County School District 	Gastonia 	Gaston
Gates County School District 	Gatesville 	Gates
Global Scholars Academy School District 	Durham 	Durham
Graham County School District 	Robbinsville 	Graham
Grandfather Academy School District 	Banner Elk 	Watauga
Granville County School District 	Oxford 	Granville
