school_code	grade_span	school_name
010303	09-12	Alamance-Burlington Middle College
010304	PK-05	Alexander Wilson Elementary
010308	0K-05	Altamahaw Ossipee Elem
010310	06-08	Broadview Middle
010312	0K-05	Highland Elementary
010320	PK-05	E M Yoder Elementary
010324	09-12	Eastern Alamance High
010326	PK-05	Eastlawn Elementary
010328	0K-05	Edwin M Holt Elementary
010340	PK-05	Elon Elementary
010346	0K-05	B Everett Jordan Elem
010347	0K-05	Garrett Elementary
010348	09-12	Graham High
010350	06-08	Graham Middle
010351	PK-05	Grove Park Elementary
010353	06-08	Hawfields Middle
010354	PK-05	Harvey R Newlin Elementary
010357	PK-05	Haw River Elementary
010358	PK-05	Hillcrest Elementary
010360	09-12	Hugh M Cummings High
010362	PK-05	Marvin B Smith Elementary
010364	PK-05	North Graham Elementary
010372	PK-05	Pleasant Grove Elementary
010374	PK-05	R Homer Andrews Elementary
010378	0K-12	Ray Street Academy
010380	PK-05	South Graham Elementary
010384	PK-05	South Mebane Elementary
010388	09-12	Southern High
010390	06-08	Southern Middle
010392	PK-05	Sylvan Elementary
010394	06-08	Turrentine Middle
010396	09-12	Walter M Williams High
010400	09-12	Western Alamance High
010403	06-08	Western Middle
010406	06-08	Woodlawn Middle
010LEA		Alamance-Burlington Schools
01B000	0K-12	River Mill Academy
01C000	0K-12	Clover Garden
01D000	06-12	The Hawbridge School
020302	09-12	Alexander Central High
020304	0K-05	Bethlehem Elementary
020306	06-08	East Alexander Middle
020308	PK-05	Ellendale Elementary
020316	0K-05	Hiddenite Elementary
020320	0K-05	Stony Point Elementary
020324	0K-05	Sugar Loaf Elementary
020328	0K-05	Taylorsville Elementary
020330	06-08	West Alexander Middle
020332	0K-05	Wittenburg Elementary
020LEA		Alexander County Schools
030304	09-12	Alleghany High
030308	PK-08	Glade Creek Elementary
030316	PK-08	Piney Creek Elementary
030320	PK-08	Sparta Elementary
030LEA		Alleghany County Schools
040304	09-13	Anson Co. Early College High
040305	06-12	Anson Academy
040306	09-12	Anson High School
040308	PK-06	Ansonville Elementary
040309	07-08	Anson Middle
040311	PK-03	Wadesboro Primary
040316	PK-06	Lilesville Elementary
040324	PK-06	Morven Elementary
040328	PK-06	Peachland-Polkton Elem
040330	04-06	Wadesboro Elementary
040700	09-12	Anson New Tech High
040LEA		Anson County Schools
050302	09-12	Ashe County High
050305	07-08	Ashe County Middle
050310	PK-06	Blue Ridge Elementary
050330	PK-06	Mountain View Elementary
050335	PK-06	Westwood Elementary
050LEA		Ashe County Schools
060302	09-12	Avery County High
060304	PK-05	Banner Elk Elementary
060310	06-08	Cranberry Middle
060316	PK-05	Crossnore Elementary
060318	06-08	Avery Middle
060322	PK-05	Freedom Trail Elementary
060328	PK-05	Newland Elementary
060332	PK-05	Riverside Elementary
060334	06-12	Blue Ridge Academy
060700	09-12	Avery High STEM Academy
060701	09-12	Avery High Viking Academy
060LEA		Avery County Schools
06A000	01-12	Grandfather Academy
06B000	0K-12	Crossnore Academy
070308	0K-08	Bath Elementary
070310	06-12	B C Ed Tech Center
070311	09-13	Beaufort Co Early College High
070325	05-08	Chocowinity Middle
070326	PK-04	Chocowinity Primary
070327	02-03	John C Tayloe Elementary
070328	04-05	John Small Elementary
070329	PK-08	Northeast Elementary
070330	09-12	Northside High
070338	06-08	P S Jones Middle
070339	09-12	Southside High
070340	PK-08	S W Snowden Elementary
070342	09-12	Washington High
070LEA		Beaufort County Schools
07A000	0K-08	Washington Montessori
080311	09-13	Bertie Early College High
080312	09-12	Bertie High
080314	06-08	Bertie Middle
080348	PK-05	Aulander Elementary
080356	PK-05	West Bertie Elementary
080360	PK-05	Colerain Elementary
080362	PK-05	Windsor Elementary
080700	09-12	Bertie STEM High
080LEA		Bertie County Schools
090304	PK-05	B T Washington Primary
090315	05-08	Bladenboro Middle
090317	PK-04	Bladenboro Primary
090318	PK-04	Bladen Lakes Primary
090320	06-08	Clarkton School of Discovery
090324	PK-04	Dublin Primary
090328	0K-08	East Arcadia Elementary
090330	09-12	East Bladen High
090332	05-08	Elizabethtown Middle
090333	PK-04	Elizabethtown Primary
090352	PK-04	Plain View Primary
090365	05-08	Tar Heel Middle
090368	09-12	West Bladen High
090LEA		Bladen County Schools
100302	PK-05	Belville Elementary
100304	0K-05	Bolivia Elementary
100307	09-13	Brunswick County Early College
100308	06-12	Brunswick County Academy
100309	06-08	Cedar Grove Middle
100310	0K-05	Jessie Mae Monroe Elementary
100316	06-08	Leland Middle
100320	0K-05	Lincoln Elementary
100326	09-12	North Brunswick High
100332	06-08	Shallotte Middle
100334	09-12	South Brunswick High
100335	06-08	South Brunswick Middle
100336	0K-05	Southport Elementary
100338	PK-05	Supply Elementary
100339	PK-05	Town Creek Elementary
100340	0K-05	Union Elementary
100342	0K-05	Virginia Williamson Elem
100344	0K-08	Waccamaw
100348	09-12	West Brunswick High
100LEA		Brunswick County Schools
10A000	0K-08	Charter Day School
110303	09-12	Community High School
110304	09-12	Reynolds High
110306	06-08	Reynolds Middle
110308	0K-04	Barnardsville Elementary
110318	04-05	Black Mountain Elementary
110320	0K-03	Black Mountain Primary
110322	09-13	Buncombe County Early College
110323	11-12	Buncombe County Middle College
110324	0K-05	Candler Elementary
110326	06-08	Cane Creek Middle
110332	0K-05	Bell Elementary
110336	09-12	Owen High
110338	06-08	Owen Middle
110340	09-12	Erwin High
110342	07-08	Erwin Middle
110348	0K-04	Emma Elementary
110352	09-12	Enka High
110356	0K-05	Fairview Elementary
110366	0K-04	Glen Arden Elementary
110368	0K-05	Haw Creek Elementary
110370	0K-05	Hominy Valley Elementary
110372	0K-04	Johnston Elementary
110376	0K-04	Leicester Elementary
110379	0K-04	North Buncombe Elementary
110380	09-12	North Buncombe High
110381	07-08	North Buncombe Middle
110382	05-06	North Windy Ridge Intermediate
110384	0K-05	Oakley Elementary
110388	0K-05	Pisgah Elementary
110401	06-08	Enka Middle
110408	0K-05	Sand Hill-Venable Elem
110410	0K-04	Avery's Creek Elementary
110412	0K-05	Williams Elementary
110416	09-12	Roberson High
110420	06-08	Valley Springs Middle
110422	0K-05	Estes Elementary
110428	02-04	Weaverville Elementary
110436	0K-04	West Buncombe Elementary
110444	0K-04	Woodfin Elementary
110450	05-06	Koontz Intermediate
110451	05-06	Eblen Intermediate
110LEA		Buncombe County Schools
111302	09-12	Asheville High
111304	0K-05	Hall Fletcher Elementary
111306	0K-05	Isaac Dickson Elementary
111312	0K-05	Claxton Elementary
111332	0K-05	Ira B Jones Elementary
111356	06-08	Asheville Middle
111360	0K-05	Vance Elementary
111700	09-12	School of Inquiry and Life Sciences
111LEA		Asheville City Schools
