grade,num_tested,pct_ccr,pct_glp,school_code,subgroup,subject,type,year,school_name,district_name,County name,School_Name,State_Name,Lea_Name,size,lea_size,st_size
ALL,126,77.0,84.9,010303,ALL,ALL,ALL,2017,Alamance-Burlington Middle College,Alamance-Burlington School District,Alamance,,,,,,
ALL,188,86.7,95.0,010303,ALL,ALL,ALL,2016,Alamance-Burlington Middle College,Alamance-Burlington School District,Alamance,,,,,,
ALL,118,70.3,81.4,010303,ALL,ALL,ALL,2015,Alamance-Burlington Middle College,Alamance-Burlington School District,Alamance,,,,,,
ALL,118,70.3,81.4,010303,ALL,ALL,ALL,2014,Alamance-Burlington Middle College,Alamance-Burlington School District,Alamance,,,,,,
ALL,118,70.3,81.4,010303,ALL,ALL,ALL,2013,Alamance-Burlington Middle College,Alamance-Burlington School District,Alamance,,,,,,
ALL,705,49.6,60.1,010304,ALL,ALL,ALL,2017,Alexander Wilson Elementary,Alamance-Burlington School District,Alamance,Alexander Wilson Elementary,State Of North Carolina,Alamance-Burlington Schools,22.166666666666668,20.5,19.666666666666668
ALL,703,53.2,62.9,010304,ALL,ALL,ALL,2016,Alexander Wilson Elementary,Alamance-Burlington School District,Alamance,Alexander Wilson Elementary,State Of North Carolina,Alamance-Burlington Schools,21.0,19.5,19.5
ALL,646,49.4,59.6,010304,ALL,ALL,ALL,2015,Alexander Wilson Elementary,Alamance-Burlington School District,Alamance,Alexander Wilson Elementary,State Of North Carolina,Alamance-Burlington Schools,20.666666666666668,20.0,19.333333333333332
ALL,646,49.4,59.6,010304,ALL,ALL,ALL,2014,Alexander Wilson Elementary,Alamance-Burlington School District,Alamance,,,,,,
ALL,646,49.4,59.6,010304,ALL,ALL,ALL,2013,Alexander Wilson Elementary,Alamance-Burlington School District,Alamance,Alexander Wilson Elementary,State Of North Carolina,Alamance-Burlington Schools,20.333333333333332,19.5,20.166666666666668
ALL,814,50.4,60.4,010308,ALL,ALL,ALL,2017,Altamahaw Ossipee Elem,Alamance-Burlington School District,Alamance,Altamahaw Ossipee Elem,State Of North Carolina,Alamance-Burlington Schools,21.833333333333332,20.5,19.666666666666668
ALL,732,46.4,57.5,010308,ALL,ALL,ALL,2016,Altamahaw Ossipee Elem,Alamance-Burlington School District,Alamance,Altamahaw Ossipee Elem,State Of North Carolina,Alamance-Burlington Schools,21.5,19.5,19.5
ALL,702,57.7,67.7,010308,ALL,ALL,ALL,2015,Altamahaw Ossipee Elem,Alamance-Burlington School District,Alamance,Altamahaw Ossipee Elem,State Of North Carolina,Alamance-Burlington Schools,21.333333333333332,20.0,19.333333333333332
